id_karte,ime,set,redkost,povprecna_cena,povprecna_cena_foil
1841,Runeflare Trap,ZEN,Uncommon,$0.25,$8.75
1883,Trapmaker's Snare,ZEN,Uncommon,$0.25,$1.21
1683,Baloth Woodcrasher,ZEN,Uncommon,$0.25,$0.65
1774,Kor Outfitter,ZEN,Common,$0.32,$6.26
1805,Needlebite Trap,ZEN,Uncommon,$0.25,$0.64
1807,Nimbus Wings,ZEN,Common,$0.24,$0.33
1809,Nissa's Chosen,ZEN,Common,$0.23,$0.94
1815,Oran-Rief Recluse,ZEN,Common,$0.24,$0.56
1846,Scythe Tiger,ZEN,Common,$0.22,$0.52
1852,Shepherd of the Lost,ZEN,Uncommon,$0.24,$0.75
1859,Soul Stair Expedition,ZEN,Common,$0.22,$0.49
1863,Spidersilk Net,ZEN,Common,$0.25,$1.48
1740,Grim Discovery,ZEN,Common,$0.25,$0.55
1794,Merfolk Wayfinder,ZEN,Uncommon,$0.25,$0.45
1830,Quest for the Gemblades,ZEN,Uncommon,$0.25,$0.45
1848,Seascape Aerialist,ZEN,Uncommon,$0.25,$0.50
1875,Teetering Peaks,ZEN,Common,$0.25,$0.45
1890,Unstable Footing,ZEN,Uncommon,$0.25,$0.45
22745,Zombie Giant Token,ZEN,Token,$0.25,N/A
1704,Cobra Trap,ZEN,Uncommon,$0.25,$0.45
1735,Gomazoa,ZEN,Uncommon,$0.25,$0.55
1777,Kraken Hatchling,ZEN,Common,$0.24,$0.48
1840,Ruinous Minotaur,ZEN,Common,$0.20,$0.33
1743,Hagra Crocodile,ZEN,Common,$0.20,$0.32
1754,Inferno Trap,ZEN,Uncommon,$0.24,$0.33
1780,Lethargy Trap,ZEN,Common,$0.21,$0.29
1781,Living Tsunami,ZEN,Uncommon,$0.23,$0.36
1810,Noble Vestige,ZEN,Common,$0.22,$0.29
1843,Savage Silhouette,ZEN,Common,$0.20,$0.30
1849,Seismic Shudder,ZEN,Common,$0.20,$0.31
1878,Territorial Baloth,ZEN,Common,$0.20,$0.28
1885,Tuktuk Grunts,ZEN,Common,$0.20,$0.35
1906,Zendikar Farguide,ZEN,Common,$0.20,$0.31
1710,Demolish,ZEN,Common,$0.20,$0.28
1711,Desecrated Earth,ZEN,Common,$0.21,$0.36
1798,Mire Blight,ZEN,Common,$0.21,$0.31
1801,Molten Ravager,ZEN,Common,$0.22,$0.32
1836,Relic Crush,ZEN,Common,$0.23,$0.28
1853,Shieldmate's Blessing,ZEN,Common,$0.20,$0.30
1856,Slaughter Cry,ZEN,Common,$0.20,$0.29
1864,Spire Barrage,ZEN,Common,$0.20,$0.30
1871,Surrakar Marauder,ZEN,Common,$0.20,$0.30
1882,Trapfinder's Trick,ZEN,Common,$0.21,$0.29
1684,Beast Hunt,ZEN,Common,$0.21,$0.28
1786,Magma Rift,ZEN,Common,$0.20,$0.34
1797,Mindless Null,ZEN,Common,$0.21,$0.33
1851,Shatterskull Giant,ZEN,Common,$0.20,$0.26
1855,Sky Ruin Drake,ZEN,Common,$0.20,$0.30
1687,Bladetusk Boar,ZEN,Common,$0.20,$0.28
1703,Cliff Threader,ZEN,Common,$0.23,$0.34
1818,Paralyzing Grasp,ZEN,Common,$0.20,$0.33
1896,Vastwood Gorger,ZEN,Common,$0.19,$0.28
1900,Welkin Tern,ZEN,Common,$0.21,$0.31
18525,Land Tax,BRB,Uncommon,$34.47,
23591,Mountain (123),BRB,Land,$20.80,
18549,Reanimate,BRB,Uncommon,$11.68,
18528,Living Death,BRB,Rare,$8.64,
23565,Forest (108),BRB,Land,$3.89,
18500,Catastrophe,BRB,Rare,$6.40,
27346,Island (Spires Left),BRB,Land,$6.64,
18593,Wrath of God,BRB,Rare,$8.49,
18592,Windfall,BRB,Uncommon,$5.48,
18571,Spike Weaver,BRB,Rare,$4.82,
18494,Argothian Elder,BRB,Uncommon,$4.54,
23552,Forest (102),BRB,Land,$0.70,
23594,Plains (124),BRB,Land,$3.78,
18568,Soul Warden,BRB,Common,$3.80,
23600,Plains (129),BRB,Land,$3.10,
23588,Mountain (120),BRB,Land,$3.40,
18577,Swords to Plowshares,BRB,Uncommon,$3.58,
23560,Forest (106),BRB,Land,$3.18,
23596,Plains (125),BRB,Land,$2.40,
23589,Mountain (121),BRB,Land,$1.57,
23562,Forest (107),BRB,Land,$6.04,
18574,Subversion,BRB,Rare,$1.94,
18503,Counterspell,BRB,Common,$3.39,
18512,Exhume,BRB,Common,$2.04,
23607,Swamp (133),BRB,Land,$1.22,
18529,Llanowar Elves,BRB,Common,$1.49,
23568,Forest (109),BRB,Land,$0.79,
23551,Forest (101),BRB,Land,$1.95,
23598,Plains (127),BRB,Land,$1.05,
18531,Mana Leak,BRB,Common,$1.45,
27344,Island (No Sky),BRB,Land,$1.43,
23586,Mountain (118),BRB,Land,$1.12,
18566,Soltari Foot Soldier,BRB,Common,$1.41,
23554,Forest (104),BRB,Land,$1.11,
23580,Mountain (115),BRB,Land,$1.10,
23587,Mountain (119),BRB,Land,$0.80,
23582,Mountain (116),BRB,Land,$1.00,
23590,Mountain (122),BRB,Land,$1.94,
18507,Dirtcowl Wurm,BRB,Rare,$0.99,
27343,Island (Beach),BRB,Land,$1.31,
23605,Plains (132),BRB,Land,$1.09,
23599,Plains (128),BRB,Land,$0.99,
18570,Spike Feeder,BRB,Common,$1.05,
23597,Plains (126),BRB,Land,$1.32,
23602,Plains (130),BRB,Land,$0.99,
18506,Dark Ritual,BRB,Common,$1.00,
18514,Fertile Ground,BRB,Common,$0.94,
23609,Swamp (134),BRB,Land,$0.88,
23604,Plains (131),BRB,Land,$1.25,
18553,Sadistic Glee,BRB,Common,$0.72,
18560,Seeker of Skybreak,BRB,Common,$1.09,
23612,Swamp (136),BRB,Land,$0.72,
18547,Raging Goblin,BRB,Common,$0.51,
18513,Fecundity,BRB,Uncommon,$0.89,
18502,Control Magic,BRB,Uncommon,$0.96,
18584,Unnerve,BRB,Common,$0.60,
27347,Island (Spires Right),BRB,Land,$0.50,
18498,Broken Fall,BRB,Common,$0.54,
18509,Disruptive Student,BRB,Common,$0.72,
18505,Curfew,BRB,Common,$0.51,
23585,Mountain (117),BRB,Land,$0.58,
23611,Swamp (135),BRB,Land,$0.82,
18518,Giant Growth,BRB,Common,$0.49,
18591,Wind Drake,BRB,Common,$0.47,
27345,Island (River),BRB,Land,$0.62,
23559,Forest (105),BRB,Land,$0.46,
23553,Forest (103),BRB,Land,$0.50,
18541,Phyrexian Ghoul,BRB,Common,$0.50,
18561,Sengir Vampire,BRB,Uncommon,$0.49,
18565,Slippery Karst,BRB,Common,$0.44,
18508,Disenchant,BRB,Common,$0.36,
18550,Remote Isle,BRB,Common,$0.74,
18552,Rolling Thunder,BRB,Common,$0.50,
18526,Lhurgoyf,BRB,Rare,$0.48,
18511,Elvish Lyrist,BRB,Uncommon,$0.32,
18558,Scryb Sprites,BRB,Common,$0.32,
18581,Thalakos Lowlands,BRB,Uncommon,$0.38,
18492,Angelic Page,BRB,Common,$0.43,
18499,Cackling Fiend,BRB,Common,$0.50,
18540,Pestilence,BRB,Uncommon,$0.35,
18548,Ray of Command,BRB,Common,$0.32,
18535,Mogg Hollows,BRB,Uncommon,$0.30,
18551,River Boa,BRB,Uncommon,$0.49,
18493,Arc Lightning,BRB,Common,$0.46,
18515,Fire Ants,BRB,Uncommon,$0.35,
18586,Vec Townships,BRB,Uncommon,$0.33,
18522,Hurricane,BRB,Uncommon,$0.37,
18537,Nekrataal,BRB,Uncommon,$0.38,
18562,Sewer Rats,BRB,Common,$0.34,
18534,Master Decoy,BRB,Common,$0.29,
18545,Polluted Mire,BRB,Common,$0.44,
18501,Cinder Marsh,BRB,Uncommon,$0.32,
18504,Crazed Skirge,BRB,Uncommon,$0.30,
18510,Drifting Meadow,BRB,Common,$0.32,
18519,Gorilla Warrior,BRB,Common,$0.29,
18530,Man-o'-War,BRB,Common,$0.42,
18567,Songstitcher,BRB,Uncommon,$0.30,
18569,Spike Colony,BRB,Common,$0.30,
18575,Sun Clasp,BRB,Common,$0.30,
18580,Terror,BRB,Common,$0.32,
18495,Armored Pegasus,BRB,Common,$0.27,
18497,Blinking Spirit,BRB,Rare,$0.39,
18588,Wall of Heat,BRB,Common,$0.30,
18556,Sandstorm,BRB,Common,$0.29,
18582,Tranquility,BRB,Common,$0.38,
18583,Trumpeting Armodon,BRB,Uncommon,$0.25,
18578,Symbiosis,BRB,Common,$0.25,
18557,Scaled Wurm,BRB,Common,$0.30,
18564,Skyshroud Elite,BRB,Uncommon,$0.50,
18573,Steam Blast,BRB,Uncommon,$0.31,
18489,Abyssal Specter,BRB,Uncommon,$0.50,
18579,Syphon Soul,BRB,Common,$0.32,
18587,Village Elder,BRB,Common,$0.26,
18516,Flood,BRB,Common,$0.37,
18538,Opportunity,BRB,Uncommon,$0.36,
18539,Pacifism,BRB,Common,$0.28,
18533,Manta Riders,BRB,Common,$0.30,
18572,Spike Worker,BRB,Common,$0.25,
18520,Healing Salve,BRB,Common,$0.30,
18585,Uthden Troll,BRB,Uncommon,$0.30,
18546,Prodigal Sorcerer,BRB,Common,$0.86,
18496,Azure Drake,BRB,Uncommon,$0.32,
18521,Heat Ray,BRB,Common,$0.30,
18544,Plated Rootwalla,BRB,Common,$0.30,
18554,Sanctum Custodian,BRB,Common,$0.30,
18559,Seasoned Marshal,BRB,Uncommon,$0.25,
18563,Shower of Sparks,BRB,Common,$0.25,
18589,Weakness,BRB,Common,$0.27,
18590,Wildfire Emissary,BRB,Uncommon,$0.24,
18542,Pincher Beetles,BRB,Common,$0.26,
18527,Lightning Elemental,BRB,Common,$0.25,
18555,Sanctum Guardian,BRB,Uncommon,$0.30,
18490,Advance Scout,BRB,Common,$0.30,
18491,Air Elemental,BRB,Uncommon,$0.31,
18523,Infantry Veteran,BRB,Common,$0.31,
18532,Maniacal Rage,BRB,Common,$0.22,
18536,Mountain,BRB,Land,N/A,
18543,Plains,BRB,Land,N/A,
18576,Swamp,BRB,Land,N/A,
74742,Ledger Shredder,SNC,Rare,$21.80,$24.90
74780,Bootleggers' Stash,SNC,Mythic,$12.80,$17.82
74747,Unlicensed Hearse,SNC,Rare,$12.62,$13.35
74723,"Jetmir, Nexus of Revels",SNC,Mythic,$7.98,$6.10
74730,"Ob Nixilis, the Adversary",SNC,Mythic,$9.85,$20.46
74774,Raffine's Tower,SNC,Rare,$9.00,$10.56
74761,Spara's Headquarters,SNC,Rare,$8.40,$9.31
74781,Jetmir's Garden,SNC,Rare,$8.00,$8.30
74783,"Luxior, Giada's Gift",SNC,Mythic,$9.60,$15.00
74750,Ziatora's Proving Ground,SNC,Rare,$7.99,$9.15
74736,"Lord Xander, the Collector",SNC,Mythic,$4.82,$3.89
74741,Xander's Lounge,SNC,Rare,$7.30,$8.70
74745,Professional Face-Breaker,SNC,Rare,$4.72,$5.48
74765,Vivien on the Hunt,SNC,Mythic,$4.56,$4.50
74767,Titan of Industry,SNC,Mythic,$5.94,$6.11
74751,Halo Fountain,SNC,Mythic,$4.39,$5.94
74769,Arcane Bombardment,SNC,Mythic,$4.28,$6.53
74790,"Ziatora, the Incinerator",SNC,Mythic,$4.14,$5.40
74754,"Urabrask, Heretic Praetor",SNC,Mythic,$4.00,$5.09
74738,Elspeth Resplendent,SNC,Mythic,$3.95,$4.61
74749,"Raffine, Scheming Seer",SNC,Mythic,$4.03,$5.57
74752,Angel of Suffering,SNC,Mythic,$3.00,$2.65
74729,"Falco Spara, Pactweaver",SNC,Mythic,$3.12,$5.85
74294,An Offer You Can't Refuse,SNC,Uncommon,$2.72,$7.25
74796,"Giada, Font of Hope",SNC,Rare,$2.84,$5.05
74766,Tenacious Underdog,SNC,Rare,$3.88,$3.20
74775,Body Launderer,SNC,Mythic,$2.38,$3.96
74744,Sanctuary Warden,SNC,Mythic,$1.98,$2.97
74762,Fight Rigging,SNC,Rare,$1.74,$2.42
74801,Even the Score,SNC,Mythic,$1.72,$3.30
74791,Void Rend,SNC,Rare,$2.05,$3.50
74792,Extraction Specialist,SNC,Rare,$1.53,$3.97
74733,Ziatora's Envoy,SNC,Rare,$1.38,$1.26
74776,Topiary Stomper,SNC,Rare,$1.36,$2.06
74784,Devilish Valet,SNC,Rare,$1.33,$2.95
74740,"Jinnie Fay, Jetmir's Second",SNC,Rare,$1.46,$3.35
74724,Cut Your Losses,SNC,Rare,$1.22,$1.45
74725,Gala Greeters,SNC,Rare,$1.33,$2.74
74743,Depopulate,SNC,Rare,$0.99,$0.98
74786,"Errant, Street Artist",SNC,Rare,$0.93,$2.15
74739,Park Heights Pegasus,SNC,Rare,$0.93,$1.72
74758,"Evelyn, the Covetous",SNC,Rare,$0.88,$0.90
74779,Endless Detour,SNC,Rare,$0.90,$0.99
74734,Black Market Tycoon,SNC,Rare,$1.02,$1.10
74735,Hoard Hauler,SNC,Rare,$0.80,$1.52
74794,Brokers Ascendancy,SNC,Rare,$0.94,$3.52
74728,"Rigo, Streetwise Mentor",SNC,Rare,$0.77,$1.51
74732,Cut of the Profits,SNC,Rare,$0.59,$3.00
74746,Rabble Rousing,SNC,Rare,$1.54,$3.08
74731,Incandescent Aria,SNC,Rare,$0.76,$0.97
74770,"Ognis, the Dragon's Lash",SNC,Rare,$0.82,$2.46
